Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
cntDisplayCaseEmptyVariantHelper,blocks,Container,,,Display Case Empty Left,,"Vitrine – leer, links","Vitrina, vacía, parte izquierda","Vitrine vide, gauche",Vetrinetta sx vuota,展示ケース（左、空）,왼쪽 진열 케이스 비어 있음,"Gablota — puste, lewo",Mostruário esquerdo vazio,"Левая витрина, пустая",Vitrin - Boş Sol,左侧空展示柜,左側陳列櫃，空的,"Vitrina, vacía, parte izquierda"
cntDisplayCaseAmmoVariantHelper,blocks,Container,,,Ammo Display Case,,Munitionsvitrine,Vitrina de munición,Vitrine de munitions,Vetrinetta munizioni,弾薬展示ケース,탄약 전시 케이스,Gablota na amunicję,Mostruário de munição,Витрина с боеприпасами,Mühimmat Vitrini,弹药展示柜,彈藥陳列櫃,Vitrina de munición
cntClothesRackEmptyVariantHelper,blocks,Container,,,"Clothes Rack Round, Empty",,"Kleiderständer – rund, leer","Perchero circular, vacío","Portant rond, vide","Appendiabiti rotondo, vuoto",洋服ラック(丸、空),"의상걸이대 원형, 비어 있음","Drążek na ubrania — zaokrąglone, puste","Arara de roupa redonda, vazia","Круглая вешалка для одежды, пустая","Ayaklı Elbise Askısı - Yuvarlak, Boş",空圆形衣架,圓形吊衣架，空,"Perchero circular, vacío"
cntClothesRackFilledVariantHelper,blocks,Container,,,Clothes Rack,,Kleiderständer,Perchero rectangular,Portant,Appendiabiti,洋服ラック,의상걸이대,Drążek na ubrania,Arara de roupa,Вешалка для одежды,Ayaklı Elbise Askısı,衣架,吊衣架,Perchero rectangular
cntStoreShoeShelfVariantHelper,blocks,Container,,,Store Shelf Double Bottom Shoes Empty,,"Ladenregal – doppelt, Boden, Schuhe, leer","Estantería de almacenaje de zapatos, parte de abajo doble, vacía","Double rayonnage, bas, chaussures, vide",Scaffale da negozio con scarpe e doppio fondo vuoto,商品棚（両面、底、靴無し）,상점 선반 2단 하단 신발 비어 있음,"Półki sklepowe — podwójne, dół, buty, puste",Base da prateleira de sapatos de loja dupla vazia,"Нижняя часть двойной обувной полки, пустая",Depo Rafı İkili Alt Ayakkabı Boş,双面货架，底层未放鞋子,鞋類雙層貨架下層無置物,"Estantería de almacenaje de zapatos, parte de abajo doble, vacía"
cntBookShelfVariantHelper,blocks,Container,,,Book Shelf Single Bottom Empty,,"Bücherregal – einzeln, Boden, leer","Biblioteca, parte de abajo simple, vacía","Simple étagère de livres, bas, vide",Scaffale per libri con fondo singolo vuoto,本棚（片面、底、空）,책장 1단 하단 비어 있음,"Półki na książki — pojedyncze, dół, puste",Base da estante de livros simples vazia,"Нижняя часть одинарного книжного шкафа, пустая",Kitap Rafı Tekli Alt Boş,单面书架，底层未置物,單層書架底部無置物,"Biblioteca, parte de abajo simple, vacía"
cntBagVariantHelper,blocks,Container,,,Weathered Backpack,,Verwitterter Rucksack,Mochila erosionada,Sac à dos usé,Zaino consumato,色褪せたバックパック,오래된 백팩,Zszargany plecak,Mochila Molhada,Потрепанный рюкзак,Yıpranmış Sırt Çantası,风化的背包,褪色的背包,Mochila erosionada
cntClothesShelfVariantHelper,blocks,Container,,,"Clothes Shelf Half, Empty",,"Kleiderständer – halb, leer","Media estantería para ropa, vacía","Moitié d'étagère pour vêtements, vide","1/2 ripiano per abiti, vuoto",洋服棚(半分、空),"의상 선반 1/2, 비어 있음","Półka na ubrania — połowa, puste","Meia estante de roupa, vazia","Половина полки для одежды, пустая","Elbise Rafı, Boş",空 1/2 衣服货架,半面置衣架，空,"Media estantería para ropa, vacía"
pouredConcretePoleSCTR,blocks,Block,,,Wet Concrete Pole S Centered,,"Feuchter Beton – Pfosten, mittig",Poste de hormigón fresco centrado,Poteau centré en béton mouillé,Palo centrale di calcestruzzo lucido,生コンポール（センター）,비경화 콘크리트 막대 (중앙),"Mokry beton — słup, wyśrodkowany",Poste de concreto fresco central,Центрованный столб из мокрого бетона,Islak Beton Direk - Ortalı,湿混凝土 杆 居中,中心細濕態混凝土桿,Poste de hormigón fresco centrado
cobblestonePoleSCTR,blocks,Block,,,Cobblestone Pole S Centered,,"Pflasterstein – Pfosten, mittig",Poste centrado de adoquín,Poteau centré en pavés,Palo centrale di ciottoli,玉石ポール（センター）,조약돌 막대 (중앙),"Bruk — słup, wyśrodkowany",Poste central de pedra portuguesa,Центрованный столб из булыжника,Kaldırım Taşı Direği - Ortalı,鹅卵石杆 居中,中心細鵝卵石柱,Poste centrado de adoquín
flagstonePoleSCTR,blocks,Block,,,Flagstone Pole S Centered,,"Steinplatte – Pfosten, mittig",Poste centrado de baldosa,Poteau centré en dalle,Palo centrale di lastricato,敷石ポール（センター）,판석 막대 (중앙),"Kamienna płyta — słup, wyśrodkowany",Poste central de laje,Центрованный столб из плитняка,Yassı Taş Direk - Ortalı,石板杆 居中,中心扁細石柱,Poste centrado de baldosa
rWoodPoleSCTR,blocks,Block,,,R Wood Pole S Centered,,"Verstärktes Holz – Pfosten, mittig",Poste de madera reforzada centrada,Poteau centré en bois renforcé,Palo centrale di legno rinforzato,強化木材ポール（センター）,R 목재 막대 (중앙),"Drewno wzmacniane — słup, wyśrodkowany",Poste central de madeira reforçada,Центрованный столб из укрепленного дерева,Güçlendirilmiş Tahta Direk - Ortalı,加固木杆 居中,中心強化細木柱,Poste de madera reforzada centrada
rConcretePoleSCTR,blocks,Block,,,R Concrete Pole S Centered,,"Verstärkter Beton – Pfosten, mittig",Poste de hormigón reforzado centrado,Poteau centré en béton armé,Palo centrale di calcestruzzo rinforzato,鉄筋コンクリートポール（センター）,R 콘크리트 막대 (중앙),"Beton zbrojony — słup, wyśrodkowany",Poste de concreto reforçado central,Центрованный железобетонный столб,Betonarme Direk - Ortalı,钢筋混凝土杆 居中,中心細鋼筋混凝土柱,Poste de hormigón reforzado centrado
steelPoleSCTR,blocks,Block,,,Steel Pole S Centered,,"Stahlpfosten, mittig",Poste centrado de acero,Poteau centré en acier,Palo centrale di acciaio,鉄鋼ポール（センター）,강철 막대 (중앙),"Stal — słup, wyśrodkowany",Poste central de aço,центрованный стальной столб,Çelik Direk - Ortalı,钢杆 居中,中心細鋼柱,Poste centrado de acero
perkRogueWorker0Name,progression,perk  book,,,The Rogue Worker,,Der Schurkenarbeiter,La trabajadora pícara,Le travailleur voyou,Il canaglia lavoratore,ならず者,불량 노동자,Nieuczciwy pracownik,O trabalhador desonesto,Мошенник,Haydut işçi,流氓工人,流氓工人,La trabajadora pícara
perkRogueWorker0Desc,progression,perk  book,,,Learn how to put those callous hands to use with a familiar set of tools but on a new work surface.,,,,,,,,,,,,,,
perkRogueWorker1BrainPickerDesc,progression,perk  book,,,Do 15% more damage with all tools.,,,,,,,,,,,,,,
perkRogueWorker1BrainPickerLongDesc,progression,perk  book,,,Brain Picker: Flesh isn't so different to steel. Do 15% more damage with all tools.,,,,,,,,,,,,,,
bookRogueWorker1BrainPicker,items,perk  book,,,The Rogue Worker Vol 1,,"Der Schurkenarbeiter, Bd. 1",La trabajadora pícara vol. 1,Le travailleur voyou : volume 1,Il canaglia lavoratore - vol. 1,ならず者 1巻』,불량 노동자 1권,"Nieuczciwy pracownik, tom 1",O trabalhador desonesto Vol. 1,"Мошенник, том 1",Haydut işçi Cilt 1,流氓工人 1 卷,流氓工人1卷,La trabajadora pícara vol. 1
perkRogueWorker2ConstructedHomicideDesc,progression,perk  book,,,Increase attack speed with construction tools by 25%.,,,,,,,,,,,,,,
perkRogueWorker2ConstructedHomicideLongDesc,progression,perk  book,,,Constructed Homicide: Increase attack speed with construction tools by 25%.,,,,,,,,,,,,,,
bookRogueWorker2ConstructedHomicide,items,perk  book,,,The Rogue Worker Vol 2,,"Der Schurkenarbeiter, Bd. 2",La trabajadora pícara vol. 2,Le travailleur voyou : volume 2,Il canaglia lavoratore - vol. 2,ならず者 2巻』,불량 노동자 2권,"Nieuczciwy pracownik, tom 2",O trabalhador desonesto Vol. 2,"Мошенник, том 2",Haydut işçi Cilt 2,流氓工人 2 卷,流氓工人2卷,La trabajadora pícara vol. 2
perkRogueWorker3BoneExcavationDesc,progression,perk  book,,,Attacks to the legs can slow enemies.,,,,,,,,,,,,,,
perkRogueWorker3BoneExcavationLongDesc,progression,perk  book,,,Bone Excavation: Careful aim can be quite devastating. Attacks to the legs with tools has a 20% chance to slow enemies. This is doubled for power attacks.,,,,,,,,,,,,,,
bookRogueWorker3BoneExcavation,items,perk  book,,,The Rogue Worker Vol 3,,"Der Schurkenarbeiter, Bd. 3",La trabajadora pícara vol. 3,Le travailleur voyou : volume 3,Il canaglia lavoratore - vol. 3,ならず者 3巻』,불량 노동자 3권,"Nieuczciwy pracownik, tom 3",O trabalhador desonesto Vol. 3,"Мошенник, том 3",Haydut işçi Cilt 3,流氓工人 3 卷,流氓工人3卷,La trabajadora pícara vol. 3
perkRogueWorker4WastelandRescueDesc,progression,perk  book,,,Tools deal 15% increased block damage while in the wasteland.,,,,,,,,,,,,,,
perkRogueWorker4WastelandRescueLongDesc,progression,perk  book,,,Wasteland Rescue: You've seen bigger piles of rubble on a construction site. Tools deal 15% increased block damage while in the wasteland.,,,,,,,,,,,,,,
bookRogueWorker4WastelandRescue,items,perk  book,,,The Rogue Worker Vol 4,,"Der Schurkenarbeiter, Bd. 4",La trabajadora pícara vol. 4,Le travailleur voyou : volume 4,Il canaglia lavoratore - vol. 4,ならず者 4巻』,불량 노동자 4권,"Nieuczciwy pracownik, tom 4",O trabalhador desonesto Vol. 4,"Мошенник, том 4",Haydut işçi Cilt 4,流氓工人 4 卷,流氓工人4卷,La trabajadora pícara vol. 4
perkRogueWorker5DeadlyInnovationDesc,progression,perk  book,,,Craft treated steel tools.,,,,,,,,,,,,,,
perkRogueWorker5DeadlyInnovationLongDesc,progression,perk  book,,,Deadly Innovation: Learn to craft treated steel tools which have greatly increased entity damage and slightly increased block damage.,,,,,,,,,,,,,,
bookRogueWorker5DeadlyInnovation,items,perk  book,,,The Rogue Worker Vol 5,,"Der Schurkenarbeiter, Bd. 5",La trabajadora pícara vol. 5,Le travailleur voyou : volume 5,Il canaglia lavoratore - vol. 5,ならず者 5巻』,불량 노동자 5권,"Nieuczciwy pracownik, tom 5",O trabalhador desonesto Vol. 5,"Мошенник, том 5",Haydut işçi Cilt 5,流氓工人 5 卷,流氓工人5卷,La trabajadora pícara vol. 5
perkRogueWorker6IndustrialApproachDesc,progression,perk  book,,,Tools use 10% less stamina whilst wearing gothic pants.,,,,,,,,,,,,,,
perkRogueWorker6IndustrialApproachLongDesc,progression,perk  book,,,Industrial Approach: Sometimes you need clothes to match your attitude. Tools use 10% less stamina whilst wearing gothic pants.,,,,,,,,,,,,,,
bookRogueWorker6IndustrialApproach,items,perk  book,,,The Rogue Worker Vol 6,,"Der Schurkenarbeiter, Bd. 6",La trabajadora pícara vol. 6,Le travailleur voyou : volume 6,Il canaglia lavoratore - vol. 6,ならず者 6巻』,불량 노동자 6권,"Nieuczciwy pracownik, tom 6",O trabalhador desonesto Vol. 6,"Мошенник, том 6",Haydut işçi Cilt 6,流氓工人 6 卷,流氓工人6卷,La trabajadora pícara vol. 6
perkRogueWorker7WorkersWillDesc,progression,perk  book,,,Tools deal 20% increased damage to enemies under half health.,,,,,,,,,,,,,,
perkRogueWorker7WorkersWillLongDesc,progression,perk  book,,,Worker's Will: At the end of the day an unfinished job is the worst kind of job. Tools deal 20% increased damage to enemies under half health.,,,,,,,,,,,,,,
bookRogueWorker7WorkersWill,items,perk  book,,,The Rogue Worker Vol 7,,"Der Schurkenarbeiter, Bd. 7",La trabajadora pícara vol. 7,Le travailleur voyou : volume 7,Il canaglia lavoratore - vol. 7,ならず者 7巻』,불량 노동자 7권,"Nieuczciwy pracownik, tom 7",O trabalhador desonesto Vol. 7,"Мошенник, том 7",Haydut işçi Cilt 7,流氓工人 7 卷,流氓工人7卷,La trabajadora pícara vol. 7
perkRogueWorker8CompleteName,progression,perk  book,,,The Rogue Worker - Completion,,,,,,,,,,,,,,
perkRogueWorker8CompleteDesc,progression,perk  book,,,Killing with a tool boosts your block damage by 25% for 30 seconds.,,,,,,,,,,,,,,
perkRogueWorker8CompleteLongDesc,progression,perk  book,,,Bloody Conditioning: Some adrenaline and a blood bath never hurt anyone. Killing with a tool boosts your block damage by 25% for 30 seconds.,,,,,,,,,,,,,,
buffRogueWorkerCompleteDesc,buffs,Buff,,,Killing with a tool boosts your block damage by 25% for 30 seconds.,,,,,,,,,,,,,,
buffRogueWorkerCompleteName,buffs,Buff,,,Rogue Worker - Completion,,,,,,,,,,,,,,
